family,symbol,engine,seed,fold_id,trade_id,entry_time,exit_time,side,holding_bars,net_return,funding,fees_plus_slippage,exit_reason
pdl_reclaim_long,BTCUSDT,random_search,278037,7,6,2024-01-08T05:00:00.000+0000,2024-01-08T06:00:00.000+0000,long,2,0.00672540,0.00000000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,7,2024-01-08T07:00:00.000+0000,2024-01-08T11:00:00.000+0000,long,5,0.00808824,0.00005000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,8,2024-01-10T13:00:00.000+0000,2024-01-10T17:00:00.000+0000,long,5,0.03788281,0.00010000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,9,2024-01-10T18:00:00.000+0000,2024-01-11T14:00:00.000+0000,long,21,0.02287520,0.00010000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,10,2024-01-12T10:00:00.000+0000,2024-01-12T14:00:00.000+0000,long,5,-0.01086479,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,11,2024-01-14T21:00:00.000+0000,2024-01-14T21:00:00.000+0000,long,1,0.00051847,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,12,2024-01-19T18:00:00.000+0000,2024-01-19T18:00:00.000+0000,long,1,0.01335575,0.00000000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,13,2024-01-19T19:00:00.000+0000,2024-01-21T17:00:00.000+0000,long,47,-0.00213615,0.00030000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,14,2024-01-23T09:00:00.000+0000,2024-01-23T09:00:00.000+0000,long,1,-0.01306950,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,15,2024-02-01T01:00:00.000+0000,2024-02-01T01:00:00.000+0000,long,1,-0.01204496,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,16,2024-02-04T06:00:00.000+0000,2024-02-04T06:00:00.000+0000,long,1,-0.00389125,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,17,2024-02-17T11:00:00.000+0000,2024-02-17T12:00:00.000+0000,long,2,-0.00065810,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,18,2024-02-21T13:00:00.000+0000,2024-02-21T13:00:00.000+0000,long,1,-0.00277720,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,19,2024-02-23T09:00:00.000+0000,2024-02-23T16:00:00.000+0000,long,8,0.00108864,0.00012991,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,20,2024-03-03T08:00:00.000+0000,2024-03-03T12:00:00.000+0000,long,5,0.00883009,0.00042989,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,21,2024-03-05T22:00:00.000+0000,2024-03-06T05:00:00.000+0000,long,8,0.04876345,0.00036280,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,22,2024-03-06T06:00:00.000+0000,2024-03-07T21:00:00.000+0000,long,40,0.00531139,0.00104371,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,23,2024-03-14T15:00:00.000+0000,2024-03-14T15:00:00.000+0000,long,1,-0.01258551,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,24,2024-03-15T03:00:00.000+0000,2024-03-15T03:00:00.000+0000,long,1,-0.01203303,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,25,2024-03-17T08:00:00.000+0000,2024-03-17T10:00:00.000+0000,long,3,0.02270788,0.00017773,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,26,2024-03-17T11:00:00.000+0000,2024-03-19T02:00:00.000+0000,long,40,-0.01022714,0.00064861,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,1,2024-03-27T15:00:00.000+0000,2024-03-27T15:00:00.000+0000,long,1,-0.01769290,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,2,2024-04-01T07:00:00.000+0000,2024-04-01T14:00:00.000+0000,long,8,-0.01084070,0.00033491,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,3,2024-04-09T15:00:00.000+0000,2024-04-09T15:00:00.000+0000,long,1,-0.00184263,0.00000000,0.00050000,signal_close
