family,bar_index,p05,p25,p50,p75,p95,observed_median_seed
pdl_reclaim_long,7548,0.915266,0.979223,1.028245,1.087001,1.186460,1.005239
pdl_reclaim_long,7622,0.914777,0.979509,1.028430,1.087079,1.187721,0.997601
pdl_reclaim_long,7696,0.915307,0.979144,1.028948,1.087497,1.188575,0.997601
pdl_reclaim_long,7770,0.915263,0.979369,1.029253,1.087909,1.187438,1.002856
pdl_reclaim_long,7844,0.915068,0.979477,1.029738,1.089007,1.188884,1.002856
pdl_reclaim_long,7918,0.913775,0.980353,1.030049,1.090014,1.189462,1.001517
pdl_reclaim_long,7992,0.913388,0.980257,1.029885,1.090859,1.188924,1.010303
pdl_reclaim_long,8066,0.913249,0.979988,1.030062,1.090987,1.190574,1.031944
pdl_reclaim_long,8140,0.913713,0.980246,1.029602,1.091338,1.190576,1.031944
pdl_reclaim_long,8214,0.913500,0.980351,1.029504,1.091952,1.189533,1.031944
pdl_reclaim_long,8288,0.913079,0.980469,1.030317,1.092863,1.188550,1.031944
pdl_reclaim_long,8362,0.912711,0.980569,1.031009,1.092633,1.190575,1.031944
pdl_reclaim_long,8436,0.913204,0.980457,1.031040,1.094084,1.192511,1.033137
pdl_reclaim_long,8510,0.913169,0.980823,1.031564,1.094017,1.193859,1.033137
pdl_reclaim_long,8584,0.912046,0.980492,1.031665,1.094895,1.194660,1.033137
pdl_reclaim_long,8658,0.912042,0.980689,1.033104,1.095873,1.195577,1.037955
pdl_reclaim_long,8732,0.912352,0.980492,1.033226,1.097370,1.196876,1.037955
pdl_reclaim_long,8806,0.912711,0.980003,1.033500,1.097526,1.199712,1.060960
pdl_reclaim_long,8880,0.912751,0.980077,1.033531,1.098074,1.200864,1.060880
pdl_reclaim_long,8954,0.910886,0.979813,1.033657,1.099111,1.201799,1.070477
pdl_reclaim_long,9028,0.910886,0.979861,1.034800,1.099797,1.202695,1.066091
pdl_reclaim_long,9102,0.910307,0.979686,1.034904,1.100944,1.204016,1.066091
pdl_reclaim_long,9176,0.910077,0.979656,1.035897,1.100957,1.205654,1.066091
pdl_reclaim_long,9250,0.909198,0.979556,1.036205,1.101458,1.204789,1.076216
pdl_reclaim_long,9324,0.908478,0.979823,1.035886,1.102115,1.204789,1.076216
pdl_reclaim_long,9398,0.907853,0.979456,1.035972,1.102967,1.206187,1.082176
pdl_reclaim_long,9472,0.908062,0.979853,1.036093,1.103942,1.208322,1.082176
pdl_reclaim_long,9546,0.909303,0.979562,1.036718,1.104459,1.208727,1.082176
pdl_reclaim_long,9620,0.909281,0.980207,1.037041,1.106042,1.209750,1.082176
pdl_reclaim_long,9694,0.909281,0.980504,1.037088,1.105668,1.211539,1.070939
pdl_reclaim_long,9768,0.909303,0.980328,1.037233,1.105850,1.211806,1.070939
pdl_reclaim_long,9842,0.907978,0.981729,1.037829,1.106505,1.214726,1.070939
pdl_reclaim_long,9916,0.907072,0.980773,1.037683,1.106348,1.215361,1.070939
pdl_reclaim_long,9990,0.905977,0.980144,1.038214,1.106510,1.216515,1.084267
pdl_reclaim_long,10064,0.905059,0.980447,1.038720,1.106843,1.217319,1.079491
pdl_reclaim_long,10138,0.905443,0.981808,1.038774,1.107290,1.217333,1.097284
pdl_reclaim_long,10212,0.905288,0.981664,1.039028,1.108424,1.218396,1.097284
pdl_reclaim_long,10286,0.904534,0.982030,1.040537,1.110227,1.218194,1.097284
pdl_reclaim_long,10360,0.903614,0.981504,1.040835,1.110227,1.218868,1.097284
pdl_reclaim_long,10434,0.902246,0.980875,1.040736,1.110745,1.221166,1.097284
pdl_reclaim_long,10508,0.902355,0.980417,1.040853,1.111128,1.220224,1.097284
pdl_reclaim_long,10582,0.902355,0.980423,1.041112,1.111792,1.221760,1.097284
pdl_reclaim_long,10656,0.902290,0.980470,1.041713,1.112196,1.222009,1.097284
pdl_reclaim_long,10730,0.901882,0.980570,1.042175,1.112590,1.223214,1.097284
pdl_reclaim_long,10804,0.901882,0.980841,1.042895,1.111962,1.224002,1.097284
pdl_reclaim_long,10878,0.902242,0.981297,1.043185,1.113091,1.225860,1.097284
