round,family,symbol,n_seeds,sharpe_concat_ann_mean_across_seeds,sharpe_concat_ann_sd_across_seeds,sharpe_concat_ann_min,sharpe_concat_ann_max,mean_fold_test_sharpe_mean_across_seeds,total_return_net_mean_across_seeds,seeds_positive_return,bh_total_return_same_window,n_trades_mean_across_seeds
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,10,-0.3839329516220271,0.11186682131039678,-0.523495715794358,-0.12721220800125058,-0.2946705601886691,-0.22279320811368772,0,-0.2190192992677874,363.2
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,10,-0.22918990994306312,0.2900443028997405,-0.7120243323165738,0.16528005552467212,-0.4538047893389593,-0.056931938032304986,3,0.522747844787544,246.5
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,10,-0.48055922495139497,0.311103754949158,-0.9072084315017769,0.013080408624893868,-0.9112909434914325,-0.12635440204159792,0,-0.2190192992677874,194.1
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,10,-0.33350878480936735,0.28960112593723875,-0.6226205696320539,0.308502218288005,-0.7230905100161077,-0.040144410772989726,1,0.522747844787544,72.3
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,10,-0.7202668363944155,0.36560226929098544,-1.1152770745476888,-0.07082930764208564,-0.5758172676251201,-0.11201293146976707,0,-0.2190192992677874,102.5
R2,momentum,BTCUSDT,10,-0.22140521726330284,0.2197115286022469,-0.6263687244116883,0.018560265100240354,-0.7127808199924982,-0.32245911429465873,0,0.522747844787544,577.9
R2,momentum,ETHUSDT,10,-0.32720957621327085,0.1693306203660091,-0.7116734818953292,-0.09666640915276539,-0.4939611744471919,-0.4744615193089451,0,-0.2190192992677874,456.4
R3,BTC_ETH_confirmation,BTCUSDT,10,-0.5044514948692568,0.2991182610401989,-0.8126007494530537,0.2154049659253097,-0.6542125270217516,-0.5985165269728592,1,0.522747844787544,848.2
R3,BTC_ETH_confirmation,ETHUSDT,10,-0.4401094790131948,0.34691794336276416,-1.0728926721109537,-0.025642998924599737,-0.49219999264819475,-0.6986511002694404,0,-0.2190192992677874,960.7
R3,breakout,BTCUSDT,10,-0.7490723036486808,0.20232836152715677,-1.1828828478969635,-0.4368439788220843,-1.184564637077759,-0.16103806359393186,0,0.522747844787544,328.2
R3,breakout,ETHUSDT,10,-1.0663891528733502,0.14482458283863048,-1.3365914173049729,-0.8793108271153401,-1.43683057032894,-0.26134264442718286,0,-0.2190192992677874,443.6
R3,funding,BTCUSDT,10,-0.2674536905696875,0.17747113049253682,-0.5491581597176691,-0.0622495847277743,-0.300854801581517,-0.4053663264266544,0,0.522747844787544,358.0
