round,family,symbol,seed,scenario,n_bars,total_return,sharpe,ann_volatility,max_drawdown,ci_low,ci_high,ci_excludes_zero,bh_total_return,beats_bh,positive
R2,momentum,BTCUSDT,765570,gross,32385,-0.25084769062099854,-0.14962978682852673,0.27293723638289186,-0.4597206057927785,-0.013442177471978596,0.010654436221406166,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,891022,taker_4_1,32385,-0.16594767064794003,0.00040628575091735536,0.3135923981103987,-0.5166351580074775,-0.012849851511883253,0.013171423562039384,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,891022,maker_2_1,32385,-0.05085268066250703,0.11187056349618794,0.313535916176971,-0.49518250526492813,-0.011624891758894734,0.01417793824268638,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,891022,no_fees,32385,0.15218376030331915,0.27910352655357784,0.3134947377539117,-0.4677707767423589,-0.009756279106396506,0.015690546892418732,False,0.5235082851004165,False,True
R2,momentum,BTCUSDT,891022,gross,32385,0.23088603018861265,0.33611410058232516,0.31348543553219593,-0.4624584454467052,-0.009149470822937506,0.01645546482808233,False,1.0065896149726061,False,True
R2,momentum,ETHUSDT,278037,taker_4_1,32385,-0.37937115477070593,-0.19268624271257917,0.3508708889529784,-0.5517290275124493,-0.012993520341621285,0.007465423794714761,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,278037,maker_2_1,32385,-0.3268513758196566,-0.13009554495349235,0.3508479139768634,-0.5347140763706479,-0.01224606448999691,0.00809042418819196,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,278037,no_fees,32385,-0.23964540831154457,-0.03619172324847431,0.35083674850208324,-0.512638232517779,-0.011161063828663258,0.00905380186134378,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,278037,gross,32385,-0.1829023640009385,0.019349046141816175,0.35089280621011354,-0.5047295136943903,-0.010635509561734806,0.009670966223485709,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,341110,taker_4_1,32385,-0.4667740595095743,-0.2814754293008045,0.3663186931508149,-0.5643630409385771,-0.014028354317177312,0.006298495592829765,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,341110,maker_2_1,32385,-0.41173712876665713,-0.2089736007625796,0.3663000648617622,-0.5278775639009126,-0.013216697517169666,0.0070542399502629555,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,341110,no_fees,32385,-0.3183751186800131,-0.10019958258830326,0.366299346892726,-0.4963125029345151,-0.011998337190671744,0.008188207654730469,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,341110,gross,32385,-0.2571249578866297,-0.03660429127274217,0.366351379442096,-0.486759809861844,-0.011369894122547209,0.008942886797641112,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,605142,taker_4_1,32385,-0.3103065686381352,-0.09666640915276536,0.3622327999305736,-0.5481665298296314,-0.011895332237939418,0.008509352330342071,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,605142,maker_2_1,32385,-0.24338329297250394,-0.02751820302996215,0.3622275587160848,-0.5340273722544497,-0.01114778875758386,0.00925498267301748,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,605142,no_fees,32385,-0.1306581199807918,0.07620248087153328,0.3622452575659005,-0.5122525859487861,-0.00999467665527291,0.01038777408730353,False,-0.21863013662755293,True,False
R2,momentum,ETHUSDT,605142,gross,32385,-0.059871024114310445,0.13468396747747113,0.36229539210463646,-0.5045500983339771,-0.009453087528742497,0.011036209652073277,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,671194,taker_4_1,32385,-0.4763811640477845,-0.36761925988439825,0.32897939787499647,-0.6795958757778695,-0.016308714778577964,0.006180997891110919,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,671194,maker_2_1,32385,-0.43378578612203966,-0.3033250332532864,0.32897517817193966,-0.6688347755186896,-0.015562987903210415,0.006810128249305417,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,671194,no_fees,32385,-0.3633273040932453,-0.20686554360441037,0.32899279316611474,-0.6553105784576796,-0.014443004119871929,0.007792845592937228,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,671194,gross,32385,-0.3217958768316571,-0.1548753675027526,0.3290181459278,-0.6476348510645851,-0.013709283466585688,0.008353663531520355,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,683778,taker_4_1,32385,-0.5051296353815018,-0.3535453045977303,0.35761908993049296,-0.6052848278355074,-0.014692945348665117,0.0056764357100460355,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,683778,maker_2_1,32385,-0.4573272363448466,-0.2838114950939949,0.3576136186552535,-0.5710314344469021,-0.013952161244106046,0.006385632951279791,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,683778,no_fees,32385,-0.37684997297608513,-0.1791936342174621,0.3576316458003904,-0.5487734880881314,-0.01280632838416188,0.007449105426092921,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,683778,gross,32385,-0.32981267919715396,-0.12411888615533166,0.3576608945916927,-0.5385058434834207,-0.012241027029766694,0.008056552434005363,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,692467,taker_4_1,32385,-0.38151694880114206,-0.18387590933425235,0.358337056304449,-0.5678164659679074,-0.012839282867987628,0.007413779509626838,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,692467,maker_2_1,32385,-0.31890530267256334,-0.11111376028908342,0.35831544311358743,-0.5495569680434411,-0.012021654800181926,0.008225001281946689,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,692467,no_fees,32385,-0.21293366411580972,-0.0019539301237341882,0.35830990693362336,-0.525661572690884,-0.010794432611422655,0.009395354804462946,False,-0.21863013662755293,True,False
R2,momentum,ETHUSDT,692467,gross,32385,-0.1490574357200043,0.05700428928485889,0.3583745365915168,-0.5178806641508962,-0.01016293384851597,0.010036896528248867,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,693857,taker_4_1,32385,-0.5183416881683598,-0.3634148585954673,0.3628572424187172,-0.5991825679373056,-0.014112864493497766,0.00573419910075295,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,693857,maker_2_1,32385,-0.470312436778039,-0.29262509138433596,0.36282135260265413,-0.5632473418934223,-0.013311164807944267,0.006467071679504939,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,693857,no_fees,32385,-0.3891630503729656,-0.18640067461569654,0.36279379689673347,-0.5051487496180362,-0.012184442303161246,0.007485930943925882,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,693857,gross,32385,-0.33657911071621727,-0.12476343125393723,0.3628471369275211,-0.49580635907192716,-0.011461375255539372,0.008266172399735629,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,707014,taker_4_1,32385,-0.5561323303259571,-0.4330170318072827,0.3588762435819417,-0.6234758226771198,-0.014612849345482352,0.004690519343056026,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,707014,maker_2_1,32385,-0.5133204076177249,-0.3637317956649141,0.35881914134138554,-0.5931480947219668,-0.013797863017616955,0.005388166156858187,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,707014,no_fees,32385,-0.44125648258647276,-0.2597439464741366,0.3587592284230223,-0.5430948161452012,-0.012611224490314796,0.006364877764209994,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,707014,gross,32385,-0.3943283377356389,-0.19886072284253636,0.3588120532406055,-0.5190277250360025,-0.01203773966795027,0.007065081168381009,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,765570,taker_4_1,32385,-0.4742960131020848,-0.2881218348520992,0.36845063053157373,-0.5935865676377388,-0.013882651256691341,0.006332044562618218,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,765570,maker_2_1,32385,-0.42327240997757243,-0.2201525897504722,0.36842982074505465,-0.5618312357700119,-0.01311707758783791,0.007017526202481328,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,765570,no_fees,32385,-0.33732655519645693,-0.11817612181468704,0.36842417652132703,-0.5361985447554444,-0.011967459466944386,0.008131541256249928,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,765570,gross,32385,-0.2800989278183328,-0.057307431170445185,0.3684750592318341,-0.5288470824526752,-0.011420803030763071,0.008880724802100951,False,0.009306446361522447,False,False
R2,momentum,ETHUSDT,891022,taker_4_1,32385,-0.6763656303442,-0.7116734818953292,0.34513047489735643,-0.712418879288523,-0.01923904354955499,0.00327729565030891,False,-0.2190192992677874,False,False
R2,momentum,ETHUSDT,891022,maker_2_1,32385,-0.6431712587426024,-0.6352325426112284,0.3451017092659221,-0.6862677969053236,-0.01835666488678319,0.004054876053050567,False,-0.21886363421170063,False,False
R2,momentum,ETHUSDT,891022,no_fees,32385,-0.586903315384705,-0.5205046170305744,0.3450868148841903,-0.6553847586570275,-0.017039043966855016,0.0052012976132594585,False,-0.21863013662755293,False,False
R2,momentum,ETHUSDT,891022,gross,32385,-0.5522056556498113,-0.4572201582293257,0.3451171814264594,-0.6492558227091111,-0.01620452636380407,0.005970289158145701,False,0.009306446361522447,False,False
R3,BTC_ETH_confirmation,BTCUSDT,278037,taker_4_1,32385,-0.7590403739631656,-0.8126007494530537,0.38321601366453867,-0.8153390174607346,-0.01843835684837506,0.000843424908616688,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,278037,maker_2_1,32385,-0.7118149591937657,-0.6865964509711547,0.3831027764377316,-0.7839891761643596,-0.017126398760500507,0.00224108189205428,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,278037,no_fees,32385,-0.6231008523158317,-0.49737402667831176,0.3829916251582549,-0.7288750589857735,-0.01520749028638321,0.004246373743019716,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,278037,gross,32385,-0.6075425334714363,-0.4688531537617827,0.3829711370171703,-0.722345050702385,-0.014950593026372841,0.004535111126299856,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,341110,taker_4_1,32385,-0.6122707218600763,-0.44184711710243557,0.39940537358701594,-0.79040834479155,-0.01630966450287766,0.006265376019733945,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,341110,maker_2_1,32385,-0.5171864216018128,-0.2934519985007352,0.3993275833661157,-0.7789535619029089,-0.014695248181827051,0.008004536011663491,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,341110,no_fees,32385,-0.32918284523566543,-0.07073696132453872,0.3992894753647636,-0.7605936994467303,-0.0121413980993416,0.01054802893093897,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,341110,gross,32385,-0.27024638334156903,-0.013706347864688818,0.3992750879989448,-0.7625006125710931,-0.011646968862469624,0.011410802306476725,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,605142,taker_4_1,32385,-0.6479617415244742,-0.5414937033175334,0.38473740138051,-0.7271842451616242,-0.016599372263544507,0.004825939091836804,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,605142,maker_2_1,32385,-0.5426315613789318,-0.3576628997677439,0.38463936700199647,-0.6773577290126358,-0.014611586068722367,0.0067618741428843564,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,605142,no_fees,32385,-0.32279344616883554,-0.08172105277800992,0.3845858188444779,-0.59511075267265,-0.01177244246551147,0.009907039354611626,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,605142,gross,32385,-0.2635661864705673,-0.022768421124878712,0.3845716826618837,-0.5920680830200593,-0.011206734662975585,0.010637773763804297,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,671194,taker_4_1,32385,-0.6678093984241511,-0.5557180362532953,0.395519397918277,-0.835194130593528,-0.016664753111068707,0.00423892041368292,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,671194,maker_2_1,32385,-0.6070861480679473,-0.4410160157281107,0.39546886108971324,-0.808890614575766,-0.015473931400293012,0.005416942472845747,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,671194,no_fees,32385,-0.4946075646009569,-0.2688728033882144,0.395444826137489,-0.7613751589735942,-0.013601033251403254,0.007253251171531687,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,671194,gross,32385,-0.46041417565534126,-0.22411986738415982,0.39542817827112176,-0.759098815162556,-0.013223080468053686,0.007837990649913612,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,683778,taker_4_1,32385,0.0293371142221186,0.2154049659253097,0.3907238566099752,-0.5157941207311878,-0.008626596954149681,0.012737099820380548,False,0.522747844787544,False,True
R3,BTC_ETH_confirmation,BTCUSDT,683778,maker_2_1,32385,0.24641238971906287,0.34786527954011665,0.39061851152116256,-0.486224655320612,-0.007201170595046804,0.014192819107749548,False,0.5230520209126748,False,True
