round,family,symbol,scenario,n_seeds,mean_total_return,mean_sharpe,median_sharpe,n_seeds_positive,n_seeds_ci_excludes_zero,n_seeds_beat_bh,majority_required,majority_positive,majority_beats_bh,bh_total_return
R3,volatility_breakout,BTCUSDT,no_fees,10,0.2803554739464397,0.23468423255586188,0.33300230397970787,7,1,2,6,True,False,0.5235082851004165
R3,volatility_breakout,BTCUSDT,gross,10,0.34051262351295686,0.2733368259957671,0.3774412255435091,7,1,2,6,True,False,1.0065896149726061
R3,volatility_breakout,ETHUSDT,taker_4_1,10,-0.5751303721913539,-0.48609365580702574,-0.6623581493750325,1,0,1,6,False,False,-0.2190192992677874
R3,volatility_breakout,ETHUSDT,maker_2_1,10,-0.5470173777422813,-0.4431853089600062,-0.6203978084417983,1,0,1,6,False,False,-0.21886363421170063
R3,volatility_breakout,ETHUSDT,no_fees,10,-0.5013233754182652,-0.3788103972258499,-0.5574274955971741,1,0,1,6,False,False,-0.21863013662755293
R3,volatility_breakout,ETHUSDT,gross,10,-0.4772515671988957,-0.34928815666260327,-0.5363641352536281,1,0,1,6,False,False,0.009306446361522447
S1,xasset_spread_reversion,BTCUSDT,taker_4_1,1,-0.8397728041122541,-1.259145840209301,-1.259145840209301,0,0,0,1,False,False,0.522747844787544
S1,xasset_spread_reversion,BTCUSDT,maker_2_1,1,-0.7916233870402849,-1.0540568181759402,-1.0540568181759402,0,0,0,1,False,False,0.5230520209126748
S1,xasset_spread_reversion,BTCUSDT,no_fees,1,-0.6909920422617062,-0.7460072382773489,-0.7460072382773489,0,0,0,1,False,False,0.5235082851004165
S1,xasset_spread_reversion,BTCUSDT,gross,1,-0.6796217127350901,-0.7178981919612429,-0.7178981919612429,0,0,0,1,False,False,1.0065896149726061
