round,family,symbol,engine,seed,oos_start,oos_end,n_oos_bars,n_folds,budget_per_fold_per_engine,unique_evals_this_unit_engine,total_return_net,max_drawdown,n_trades,sharpe_concat_ann,mean_fold_test_sharpe,n_folds_with_winner,bh_total_return,bh_sharpe_ann,bh_max_drawdown,pass_positive_return,pass_beats_bh,pass_double_costs,pass_bootstrap_ci,run_dir
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,692467,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.32604160460298603,-0.34996082043431886,376,-0.9473367561233479,-1.072126799424057,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T224401Z_11f555
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,693857,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.24010342905414084,-0.4240643332698719,896,-0.3349552486739964,0.0530535797400796,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T214352Z_10c4c0
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,707014,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.47286622131269995,-0.5097964932302583,583,-1.0632408976732997,-0.7337682767508057,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T233210Z_2d43e7
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,765570,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,0.09158420957466928,-0.32746667531947427,657,0.2345437877357421,-0.17633720056142504,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,true,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T222510Z_5a6dfd
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,891022,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.2711704024593852,-0.36484409772311666,540,-0.4885205952961979,-0.06582684747369658,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T202752Z_52ab9d
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,278037,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.10767040390643634,-0.2742185505253457,624,-0.12621494879654233,-0.5115069627060955,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T234419Z_44b06a
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,341110,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3244577085930924,-0.34460771449750904,485,-0.6732395954856721,-0.39287216645837925,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T211458Z_d80d43
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.10819995704305885,-0.3534452320125778,640,-0.11805577669169076,-0.12814159321670274,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T230003Z_9e4bce
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.33901984232885074,-0.37646176717929736,909,-0.5820731595619079,-0.8532061015689746,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T231557Z_d96dc7
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.37184104272806284,-0.48170882372068013,1195,-0.5202012319021246,-0.3393199837320182,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T220320Z_52172a
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,692467,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.20990596286699204,-0.3804125087476333,886,-0.29662868015075833,-0.3925795379508075,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T224401Z_11f555
